iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656488431	1	playerB	Hi There	2103	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656503776	1	playerB	I saw 3 types of things, plovs, glippets and luzaks	14592	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656522087	1	playerB	There were 4 of each type, and each type had a 50% chance of having a clover property	14040	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656532335	1	playerA	yeah i did not see a consistency in the types i saw	19498	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656539975	1	playerB	was it a 50% chance like for me?	3838	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656551451	1	playerA	yes it was that but i did not have those kinds of creatures	6998	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656560884	1	playerA	mine were moreso involved in crocodiles	8746	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656564392	1	playerB	very cool	7367	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656573429	1	playerB	OK I am ready, I will just guess 50% for yours	7807	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656577110	1	playerB	Ready to go?	1376	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656581617	1	playerA	yeah whenever you are	2769	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656585977	1	playerB	ok good luck!	1552	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656591855	1	playerA	you as well	3482	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656704016	2	playerB	This is what I saw this time	3672	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656711919	2	playerB	Thup – Yellow – Egg property (4 out of 4) 	7445	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656716912	2	playerB	Ackle – Blue – NO Egg property (0 out of 4)	4337	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656718118	2	playerB	 Ellep – Orange – Egg property (1 out of 4)	663	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656724380	2	playerA	oh wow	8313	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656737215	2	playerA	i had an orange creature and he was poisonous, so were all the purple ones	12021	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656747139	2	playerB	consistently?	2343	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656751442	2	playerA	all of them, yes	2262	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656756810	2	playerB	All orange and all purple?	7839	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656760065	2	playerA	yes	457	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656834088	3	playerB	Sorry I clicked continue too fast last time!	7848	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656836150	3	playerA	only the truts grow leaves in this case	3235	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656840506	3	playerA	its ok	685	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656854842	3	playerB	Only the orange ones this time for me	3495	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656858612	3	playerA	oh ok cool	1515	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656862473	3	playerA	seems like we got this	3338	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656865378	3	playerB	I agree :)	1520	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656870163	3	playerB	here we go!	1064	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656917065	4	playerA	only the purple creatures should you be interested in	716	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656923036	4	playerA	all of them	1169	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656928450	4	playerB	This time all the blue loorches are poisonous	15064	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656934251	4	playerA	ok good	1738	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656938972	4	playerB	and 3 out of 4 purple dorbs are poisonous	8653	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656946642	4	playerB	might as well go for all the blues and purples	5078	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656950871	4	playerA	sounds like a plan	1839	chatMessage
pilot1	7480-f3534652-26df-4fb1-848f-859a2cc64c33	1502656955427	4	playerB	kk good luck!	1655	chatMessage
