is_correct,time_in_seconds,trial_num,true_label,turker_label,game_id,rule_idx,training_data_fn,rule_type,role,WorkerId
False,6.731,0,False,True,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
False,15.357999999999999,1,False,True,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,36.514,2,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,4.313,3,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.351,4,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.867,5,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.2890000000000001,6,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.309,7,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.139,8,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.002,9,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,43.867,10,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.971,11,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,3.89,12,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,105.55,13,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.309,14,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.99,15,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.119,16,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.117,17,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.046,18,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.006,19,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,1.187,20,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.995,21,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.8170000000000001,22,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.841,23,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,5.7940000000000005,24,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
False,1.012,25,True,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.975,26,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.006999999999999,27,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.9790000000000001,28,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.993,29,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.917999999999999,30,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.92,31,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.87,32,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.868,33,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.805,34,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.9,35,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.624,36,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.7120000000000001,37,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.726,38,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.72,39,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.551,40,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,0.745,41,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
False,0.672999999999999,42,True,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,4.2989999999999995,43,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
True,2.536,44,False,False,4472-c2464183-e97f-4d6a-acbf-7108bf7a9a09,2,./js/training_data_critter_fish_body_color_blue_1.json,CONJUNCTION,explorer,bf6c0964
