iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778899655		explorer	0	3.088	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778902002		explorer	1	2.308	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778903870		explorer	2	1.853	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778905414		explorer	3	1.433	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778905946		student	0	8.328	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778906714		explorer	4	1.284	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778908060		explorer	5	1.306	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778908529		student	1	2.569	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778909402		explorer	6	1.291	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778910548		explorer	7	1.109	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778911714		explorer	8	1.147	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778912893		explorer	9	1.17	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778913682		student	2	5.143	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778914188		explorer	10	1.279	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778915536		explorer	11	1.314	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778916829		explorer	12	1.279	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778917200		student	3	3.471	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778918573		explorer	13	1.721	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778919835		explorer	14	1.2	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778921158		explorer	15	1.311	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778921588		student	4	4.378	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778922456		explorer	16	1.272	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778923689		explorer	17	1.198	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778923717		student	5	2.113	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778924877		explorer	18	1.172	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778926008		student	6	2.267	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778926132		explorer	19	1.226	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778927359		explorer	20	1.191	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778928475		student	7	2.433	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778929038		explorer	21	1.658	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778930458		explorer	22	1.402	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778930667		student	8	2.189	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778931715		explorer	23	1.23	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778933011		explorer	24	1.204	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778934083		explorer	25	1.046	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778934292		student	9	3.628	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778936049		explorer	26	1.928	false	false	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778936423		student	10	2.123	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778937528		explorer	27	1.448	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778940277		explorer	28	2.721	true	true	true	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778940401		student	11	3.963	true	false	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778942621		student	12	2.181	false	true	false	logTest
pilot1	0150-60fe2d4a-b3ef-42fc-9972-01ec4e454c7c	1524778942918		explorer	29	2.594	false	false	true	logTest
