iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129747958	1	explorer	0	5.291	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129752805	1	explorer	1	4.821	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129754500	1	explorer	2	1.704	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129756396	1	explorer	3	1.876	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129758100	1	explorer	4	1.694	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129759628	1	explorer	5	1.51	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129760271	1	student	0	17.996	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129760958	1	explorer	6	1.325	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129763587	1	explorer	7	2.605	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129763644	1	student	1	3.368	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129765401	1	student	2	1.75	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129766261	1	explorer	8	2.649	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129767131	1	student	3	1.704	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129768026	1	explorer	9	1.749	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129769579	1	student	4	2.442	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129770280	1	explorer	10	2.234	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129772662	1	explorer	11	2.371	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129775050	1	explorer	12	2.373	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129777310	1	explorer	13	2.233	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129779539	1	student	5	9.949	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129779962	1	explorer	14	2.637	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129782237	1	explorer	15	2.255	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129782491	1	student	6	2.947	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129784159	1	student	7	1.642	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129784606	1	explorer	16	2.369	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129785749	1	student	8	1.57	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129787101	1	explorer	17	2.486	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129787772	1	student	9	2.008	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129789314	1	student	10	1.536	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129790026	1	explorer	18	2.899	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129790464	1	student	11	1.132	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129791979	1	student	12	1.504	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129791995	1	explorer	19	1.959	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129793267	1	student	13	1.279	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129794006	1	explorer	20	1.998	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129795074	1	student	14	1.797	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129796768	1	explorer	21	2.754	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129797099	1	student	15	2.017	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129798172	1	student	16	1.069	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129798504	1	explorer	22	1.706	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129799634	1	student	17	1.454	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129801039	1	explorer	23	2.531	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129801214	1	student	18	1.57	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129802554	1	student	19	1.326	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129802672	1	explorer	24	1.619	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129804107	1	student	20	1.546	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129806527	1	explorer	25	3.836	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129807217	1	student	21	3.107	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129808377	1	explorer	26	1.84	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129809464	1	student	22	2.232	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129810062	1	explorer	27	1.66	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129810717	1	student	23	1.246	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129811959	1	student	24	1.235	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129813547	1	student	25	1.574	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129813631	1	explorer	28	3.548	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129814804	1	student	26	1.252	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129815727	1	explorer	29	2.095	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129816074	1	student	27	1.257	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129817362	1	student	28	1.282	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129817766	1	explorer	30	2.034	false	false	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129819157	1	student	29	1.782	true	true	true	logTest
pilot1	8204-74acbfd0-0fd5-4d65-bf85-3c0c8e28b8e3	1525129820769	1	student	30	1.611	false	false	true	logTest
