iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122908764	1	explorer	0	6.79	true	false	false	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122912908	1	explorer	1	4.092	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122916583	1	explorer	2	3.663	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122921257	1	explorer	3	4.641	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122930702	1	explorer	4	2.843	false	true	false	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122933904	1	explorer	5	3.143	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122936428	1	explorer	6	2.481	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122937835	1	explorer	7	1.397	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122940542	1	explorer	8	2.625	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122942007	1	explorer	9	1.387	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122944408	1	explorer	10	2.34	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122945807	1	explorer	11	1.329	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122954495	1	explorer	12	1.855	false	true	false	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122957508	1	explorer	13	2.936	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122960365	1	explorer	14	2.743	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122962406	1	explorer	15	1.953	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122972677	1	explorer	16	3.855	false	true	false	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122974747	1	explorer	17	1.967	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122976918	1	explorer	18	2.071	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122978598	1	explorer	19	1.543	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122980245	1	explorer	20	1.55	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122981710	1	explorer	21	1.349	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122984606	1	explorer	22	2.761	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122986267	1	explorer	23	1.558	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122988195	1	explorer	24	1.8	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122990012	1	explorer	25	1.67	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122992018	1	explorer	26	1.88	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122993719	1	explorer	27	1.554	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122995261	1	explorer	28	1.383	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122996635	1	explorer	29	1.21	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122998246	1	explorer	30	1.436	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525122999808	1	explorer	31	1.403	false	false	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525123001163	1	explorer	32	1.188	true	true	true	logTrain
pilot1	8388-04055f0e-5abc-4692-8ca3-b7597c2f4349	1525123003104	1	explorer	33	1.732	false	false	true	logTrain
