iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123042557	1	explorer	0	4.919	true	false	false	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123052882	1	explorer	1	10.277	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123056302	1	explorer	2	3.379	true	true	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123059049	1	explorer	3	2.704	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123069162	1	explorer	4	3.615	false	true	false	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123072171	1	explorer	5	2.96	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123074667	1	explorer	6	2.441	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123077132	1	explorer	7	2.409	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123079618	1	explorer	8	2.382	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123082616	1	explorer	9	2.894	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123084990	1	explorer	10	2.261	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123087038	1	explorer	11	1.938	false	false	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123089922	1	explorer	12	2.786	true	true	true	logTrain
pilot1	7109-b1889f8c-acb5-4786-b2ca-8ea088c1bee1	1525123091959	1	explorer	13	1.92	false	false	true	logTrain
