iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124158542	1	explorer	0	3.839	true	false	false	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124164301	1	explorer	1	5.519	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124187567	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124189313	1	explorer	4	23.114	true	true	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124191069	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124191305	1	explorer	2	23.114	false	true	false	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124193333	1	explorer	6	1.763	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124213033	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124215383	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124216805	1	explorer	8	19.411	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124220447	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124222207	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124224049	1	explorer	11	3.197	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124230952	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124235002	1	explorer	14	6.469	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124238623	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124241842	1	explorer	17	3.224	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124246126	1	explorer	15	1.196	false	true	false	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124250325	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124251166	1	explorer	20	3.54	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124254061	1	explorer	18	3.54	false	true	false	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124257512	1	explorer	21	2.832	true	true	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124259976	1	explorer	22	1.789	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124263204	1	explorer	23	2.551	true	true	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124265927	1	explorer	24	2.065	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124271653	1	explorer		logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124275257	1	explorer	26	4.943	false	false	true	logTrain
pilot1	2781-7b4d374f-7141-4793-9c77-05d791257176	1525124277004	1	explorer	27	0.946	true	true	true	logTrain
