iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975812993		explorer	The color matters a lot. 	7444	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975815393		student	ok	445	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975826574		student	what colors are wudsys	10154	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975841645		explorer	It varies compared to the type of creature that they are. 	10606	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975848343		explorer	Like fish that are green are more likely to be wudsys	6103	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975864156		student	ok, can you give more examples?	6157	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975886238		explorer	Um like bug things are blue and purple are wudsys	8211	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975896460		explorer	There were 2 kinds of fish, fat fish and skinny fish	8096	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975904404		explorer	Fat ones that are green are wudsys	7719	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975913299		student	got it	846	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975918544		explorer	No skinny ones are wudsys as far as I remember	6837	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975929842		explorer	There's also a bird thing, I think the blue ones are mostly wudsys 	10578	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975933469		student	ok	498	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975938161		explorer	There's a ton of them lol	2308	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975952183		student	ok, we will just try our best	7579	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975961519		explorer	Yeah lol 	1286	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975966481		student	ready to start?	2255	chatMessage
pilot1	4761-7ed1c68c-f789-4be8-83cd-106e9d6e872e	1520975970243		explorer	yup	573	chatMessage
