iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975888396		explorer	Hi, not sure really	3261	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975891414		student	Hello, what are some tips to identify wudsies?	11424	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975900124		student	Haha that doesn't sound promising	3631	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975902284		explorer	i think that green fish were	3723	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975908492		explorer	haha was tough yeah	2653	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975916140		explorer	green fish seemed to be more often than not	5438	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975919316		student	Green fish, ok, anything specific about them? Color or markings? I haven't seen anything	11232	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975919679		explorer	umm	722	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975926812		explorer	hmmm	729	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975932924		explorer	well, tough to say	3200	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975939068		explorer	green fish mostly were	3999	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975953868		explorer	a few other ones like half of the others were	12249	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975954563		student	Size, fins, etc?	4368	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975962124		explorer	hmmm	745	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975964908		explorer	very tough for me	1837	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975967884		explorer	sorry	639	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975975964		explorer	some blue with red fins	2966	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975977452		explorer	were	526	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975983965		explorer	some tiny skinny ones weren't	4347	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975987715		student	Alrighty, well hopefully we do alright identifying them.	20312	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975988571		explorer	but beyond that very tough	3776	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975997804		explorer	yeah good luck sorry!	4878	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520975999098		student	Blue w/ red, no tiny skinny ones, green ones	11024	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520976001442		student	Got it	601	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520976007995		student	Anything else or time to advance?	3409	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520976015677		explorer	all i got lol	1768	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520976019705		student	Ok good luck! Later	2351	chatMessage
pilot1	9619-b5733ac5-27c1-46b9-9550-e625d3e11de9	1520976023532		explorer	thx	318	chatMessage
