iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658536466		explorer	0	10.805	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658551422		explorer	1	6.827	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658567296		explorer	2	9.223	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658571438		explorer	3	4.109	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658583037		explorer	4	5.337	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658596071		explorer	5	6.38	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658598613		explorer	6	2.487	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658608345		explorer	7	3.485	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658619314		explorer	8	5.017	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658629247		explorer	9	3.819	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658640259		explorer	10	4.446	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658644801		explorer	11	4.445	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658650000		explorer	12	5.105	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658659976		explorer	13	4.056	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658663964		explorer	14	3.874	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658668755		explorer	15	4.664	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658672053		explorer	16	3.17	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658680303		explorer	17	8.111	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658692609		explorer	18	6.197	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658696501		explorer	19	3.741	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658705011		explorer	20	2.282	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658708327		explorer	21	3.141	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658718528		explorer	22	4.082	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658737860		explorer	23	13.125	true	false	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658744438		explorer	24	6.355	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658748485		explorer	25	3.83	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658751921		explorer	26	3.227	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658754438		explorer	27	2.311	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658756748		explorer	28	2.065	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658759479		explorer	29	2.516	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658765188		explorer	30	5.482	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658767940		explorer	31	2.507	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658776277		explorer	32	1.78	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658782636		explorer	33	6.117	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658787229		explorer	34	4.344	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658791481		explorer	35	4	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658794068		explorer	36	2.322	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658802040		explorer	37	1.712	false	true	false	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658807648		explorer	38	5.333	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658812636		explorer	39	4.695	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658815789		explorer	40	2.857	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658820436		explorer	41	4.323	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658822931		explorer	42	2.187	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658825648		explorer	43	2.406	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658828482		explorer	44	2.496	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658831434		explorer	45	2.607	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658834314		explorer	46	2.533	false	false	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658837217		explorer	47	2.55	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658839740		explorer	48	2.177	true	true	true	logTrain
pilot1	1636-a2cf7d35-391c-4c17-81fe-c07a7baf1f1f	1523658841984		explorer	49	2.237	false	false	true	logTrain
