iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	reactionTime	eventType	text	messageType	utteranceType	utteranceTypeSignifiers	Properties
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	852	chatMessage	hey	Social	None	None	None
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	1024	chatMessage	hi.	Social	None	None	None
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	49004	chatMessage	any thing which has dark yelowish orange colour in it is wudsies	Informative	Quantifier	Any	Color
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	9240	chatMessage	Is there no other quality of a wudsie?	Follow-Up	Question	Possibility	"Shape,Kind,Size,Color"
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	26486	chatMessage	nope only color related that orange type 	Follow-Up	Generic	None	Color
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	1056	chatMessage	Thanks.	Confirmation	None	None	None
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	14869	chatMessage	they are fish with blue color 	Informative	Generic	None	"Kind,Color"
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	30789	chatMessage	"Hello again, thanks for the perfect score. Is a fish with blue the only trait of morseths?"	Follow-Up	Question	Possibility	"Kind,Color"
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	1242	chatMessage	yeah 	Confirmation	None	None	None
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	17045	chatMessage	color combo of orange and purple 	Informative	Generic	None	Color
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	11869	chatMessage	"Any specific shape, either can be the primary color?"	Follow-Up	Question	Possibility	Color
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	8826	chatMessage	all shape 	Follow-Up	Quantifier	All	Shape
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	9041	chatMessage	color is the main factor 	Follow-Up	Generic	None	Color
pilot	0644-0820957f-0884-4c75-9cd3-a4cee37ab431	1.54043E+12	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	21422	chatMessage	creature with orange and purple are kweps 	Follow-Up	Generic	None	Color
