iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	reactionTime	eventType	text	messageType	utteranceType	utteranceTypeSignifiers	Properties
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	926	chatMessage	hello	Social	Generic	None	Color
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	9567	chatMessage	"so, what have you learned about the dorbsy?"	Follow-Up	Question	None	Kind
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	144789	chatMessage	They come in various shapes and colors. The most prominent one has 8 to 10 appendages and a butterfly shape on its back.  Green fish looking creatures also. And some owl like creatures of various colors but not all. It	Informative	Generic	None	"Shape,Kind,Color"
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	31836	chatMessage	"Too many colors to describe them all, but I would half are. Understand?"	Informative	Quantifier	Numeric	None
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	9309	chatMessage	but I would say half are.	Informative	Quantifier	Numeric	None
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	31625	chatMessage	Are you saying half of the owl-looking creatures are dorbsys?	Follow-Up	Question	Possibility	Kind
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	35029	chatMessage	"Yeah, I didn't get all the colors."	Follow-Up	Knowledge	None	None
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	27895	chatMessage	Maybe you should just stick with the first 2 I described.	Follow-Up	Knowledge	None	None
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	30044	chatMessage	"But it's half the owls, the green fish and then a spider or octopus-like thing with a butterfly-ish thing on its back?"	Follow-Up	Question	Possibility	"Shape,Kind,Color"
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	11675	chatMessage	Yeah.	Confirmation	None	None	None
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1.54E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	12028	chatMessage	"ok, I guess I'll press ""continue"" now and we'll see how I do"	Confirmation	None	None	None
