iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	reactionTime	eventType	text	messageType	utteranceType	utteranceTypeSignifiers	Properties
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	34562	chatMessage	"Hello, for a creature to be dorbsy they have to have the color green or purple, or have wings on their back. "	Informative	Conjunction	None	"Shape,Color"
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	16887	chatMessage	By having one of those characteristics they	Informative	Generic	None	"Shape,Color"
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	4112	chatMessage	are a dorbsy	Informative	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	6213	chatMessage	do you have questions?	Follow-Up	Question	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	8196	chatMessage	no more questions	Follow-Up	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	24266	chatMessage	do you have a questions.?	Follow-Up	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	36384	chatMessage	"I just want to continue with the game, was there a timer for how long we need to chat?"	Misc	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	19747	chatMessage	i want finish this game chat. 	Misc	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	18862	chatMessage	"me too, don't you have a button on your to end the chat? I only have the ""send"" one"	Misc	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	13337	chatMessage	thankyou. bye	Misc	None	None	None
pilot	9849-409e10ec-d26f-445f-9a08-cd1a92a9ae65	1.54206E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	2499	chatMessage	"Ok, bye"				
