iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412035875	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	31.733	3.423	35.156	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412049433	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	42.4	2.02	44.42	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412241564	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	15.7	3.226	18.926	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412243295	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	17.75	1.771	19.521	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412433285	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	26.551	2.057	28.608	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540412439280	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	32.443	1.104	33.547	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540413009888	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	18	0	12	0	18	44.779	1.401	46.18	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540413019325	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	18	0	12	0	18	54.578	3.937	58.515	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540413333544	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	5	13	13	0	5	46.246	1.2	47.446	logScores
pilot	8012-e5e28cf0-fd6d-45c6-b031-a7d38c17257b	1540413350917	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	18	0	13	0	18	63.649	2.544	66.193	logScores
