iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419680783	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	13.694	1.748	15.442	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419709712	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	20.931	1.437	22.368	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419812214	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	11.91	1.026	12.936	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419820685	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	20	4	0	20.782	1.125	21.907	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419912751	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	19.566	1.204	20.77	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540419924927	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	38.97	0.968	39.938	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420024745	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	18	0	0	12	6	13.706	0.983	14.689	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420040378	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	9	9	8	4	5	18.918	0.985	19.903	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420171187	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	8	10	10	3	5	17.031	1.52	18.551	logScores
pilot	8523-b32f9435-e146-4762-a36c-2d7db1183dd1	1540420182712	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	6	12	11	2	4	28.906	0.856	29.762	logScores
