iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	type	hits	misses	correct_rejections	false_alarms	score	exploration_time	submission_time	total_time	eventType
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540394846223	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	3	8	19	0	3	15.606	2.249	17.855	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540394883710	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	testing	11	0	19	0	11	51.656	3.647	55.303	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395075979	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	12.574	1.187	13.761	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395084602	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	testing	4	0	24	0	4	22.756	1.824	24.58	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395214280	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	18.654	1.065	19.719	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395259716	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	testing	4	0	27	0	4	62.686	1.768	64.454	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395401998	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	11	7	12	0	11	11.167	0.777	11.944	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395423075	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	testing	11	7	12	0	11	38.691	1.432	40.123	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395714717	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	12	6	6	7	5	11.515	0.989	12.504	logScores
pilot	9632-789d509f-ead4-43da-a067-d90b1ea84861	1540395872411	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	testing	11	7	4	9	2	168.143	1.335	169.478	logScores
