experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	hi	3.019	chatMessage	S
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	hi	2.119	chatMessage	S
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	what are ollers?	4.927	chatMessage	M
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	how do they look like?	9.689	chatMessage	M
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	the ollers are fishes with teeth  white stripes	39.882	chatMessage	I
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	white stripes on the back	11.82	chatMessage	I
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	they can be any color	5.565	chatMessage	I
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	as long as they have the white stripes	9.497	chatMessage	I
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	OK.arethey difficult to find?	26.159	chatMessage	F
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	yes	1.145	chatMessage	F
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	"they also have whiskers, like cats "	15.503	chatMessage	F
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	"is there more , I should know?"	11.855	chatMessage	F
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	no	0.742	chatMessage	F
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	Thank you.I know enough for now.	12.695	chatMessage	C
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	you've welcome	5.946	chatMessage	C
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	student	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	can we continue?	9.613	chatMessage	C
mp-game-6	pilot	1536-f228c16b-ed6d-45d3-a262-a6922de05270	1.54774E+12	explorer	11	fish with white stripes and whiskers	fish_white_stripes_whiskers	0	yes	0.924	chatMessage	C
