experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547848786696	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	14	5	28	3	11	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547848807262	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	15	4	28	3	12	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547849249102	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	2	4	43	1	1	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547849258629	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	2	4	41	3	0	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547849715945	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	2	15	0	35	0	15	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547849727179	student	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	2	1	14	34	1	0	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547850298653	explorer	8	"trees with purple berries"	trees_purple_berries	3	0	10	35	5	0	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547850313018	student	8	"trees with purple berries"	trees_purple_berries	3	0	10	33	7	0	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547850783320	explorer	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	4	4	36	10	0	4	logScores
mp-game-6	pilot	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	1547850907685	student	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	4	2	38	10	0	2	logScores
