experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831225493	student	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	0	2	27	21	0	2	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831225561	explorer	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	0	20	9	21	0	20	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831357919	explorer	6	"birds with tails"	birds_tails	1	27	0	23	0	27	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831374492	student	6	"birds with tails"	birds_tails	1	20	7	23	0	20	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831581292	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	2	38	0	12	0	38	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831590474	student	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	2	32	6	12	0	32	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831769512	student	46	"bugs with (antennae or wings) and purple bodies"	bugs_antennae_or_wings_purple_bodies	3	22	2	25	1	21	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831770747	explorer	46	"bugs with (antennae or wings) and purple bodies"	bugs_antennae_or_wings_purple_bodies	3	23	1	26	0	23	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831877797	explorer	16	"trees with orange trunks and berries"	trees_orange_trunks_berries	4	6	2	42	0	6	logScores
mp-game-6	pilot	2567-fb408d76-ca14-47ee-9948-4106e3a70b40	1547831892319	student	16	"trees with orange trunks and berries"	trees_orange_trunks_berries	4	8	0	40	2	6	logScores
