experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548782920958	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	10	0	40	0	10	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548782999449	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	10	0	40	0	10	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548783378548	explorer	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	1	9	3	38	0	9	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548783443772	student	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	1	1	11	38	0	1	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548783735373	explorer	9	"trees without leaves"	trees_without_leaves	2	9	0	41	0	9	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548783757410	student	9	"trees without leaves"	trees_without_leaves	2	9	0	41	0	9	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548784383310	explorer	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	3	12	0	35	3	9	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548784509972	student	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	3	3	9	38	0	3	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548784926250	explorer	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	27	3	20	0	27	logScores
mp-game-6	pilot	9156-84532296-bf9e-47a0-af06-9e8ab2f24efb	1548784976762	student	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	26	4	20	0	26	logScores
