stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
1	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
2	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
3	false	true	false	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
4	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
5	false	true	false	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
6	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
7	false	true	false	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
8	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
9	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
10	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
11	true	true	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
12	false	true	false	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
13	true	true	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
14	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
15	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
16	false	true	false	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
17	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
18	false	false	true	logTest	mp-game-6	pilot	8806-69f27838-0d01-4061-8966-5cfc37f244e7	1547742497661	student	44	"fish with (orange bodies or fangs) and whiskers"	fish_orange_bodies_or_fangs_whiskers	0
