stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
1	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
2	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
3	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
4	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
5	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
6	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
7	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
8	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
9	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
10	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
11	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
12	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
13	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
14	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
15	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
16	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
17	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
18	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
19	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
20	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
21	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
22	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
23	false	true	false	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
24	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
25	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
26	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
27	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
28	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
29	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
30	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
31	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
32	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
33	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
34	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
35	false	false	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
36	true	true	true	logTest	mp-game-6	pilot	4670-b941e2af-9546-40b0-9c04-b7f56af9aedc	1547841757902	explorer	24	"trees with purple berries or white trunks"	trees_purple_berries_or_white_trunks	0
