stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
1	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
2	false	false	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
3	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
4	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
5	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
6	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
7	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
8	true	false	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
9	false	false	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
10	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
11	false	false	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
12	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
13	false	false	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
14	false	true	false	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
15	false	false	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
16	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
17	true	true	true	logTest	mp-game-6	pilot	1816-d469e9cd-6e34-415a-93eb-d57de49ce32b	1548096649422	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
