stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
1	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
2	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
3	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
4	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
5	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
6	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
7	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
8	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
9	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
10	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
11	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
12	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
13	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
14	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
15	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
16	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
17	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
18	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
19	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
20	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
21	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
22	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
23	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
24	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
25	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
26	false	true	false	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
27	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
28	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
29	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
30	false	false	true	logTest	mp-game-6	pilot	7991-e821d0e9-e594-4d32-aafb-acf3caf60da7	1548442576303	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
