stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	true	true	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
1	true	true	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
2	false	false	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
3	true	true	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
4	false	true	false	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
5	false	true	false	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
6	true	true	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
7	true	true	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
8	true	false	false	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
9	false	false	true	logTest	mp-game-6	pilot	5704-e8e559b1-e414-485a-8fa8-9418e852958d	1548459038109	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	0
