experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761608428	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	0	-1	15.374	14.332	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761616369	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	0	120.661	24.538	14.709	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761802881	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	1	-1	18.831	1.905	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761810766	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	1	123.768	24.173	2.452	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762055510	student	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	2	-1	16.207	103.506	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762115634	explorer	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	2	101.461	55.002	105.291	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762410595	student	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	-1	19.654	34.732	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762451480	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	225.121	58.424	35.212	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762554769	student	8	"trees with purple berries"	trees_purple_berries	4	-1	14.485	18.528	logTimes
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762583087	explorer	8	"trees with purple berries"	trees_purple_berries	4	53.669	42.405	18.887	logTimes
