experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834212049	explorer	5	"bugs without wings"	bugs_without_wings	0	98.064	36.904	116.54	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834226564	student	5	"bugs without wings"	bugs_without_wings	0	-1	50.389	116.154	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834491942	student	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	1	-1	35.175	96.558	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834506002	explorer	35	"flowers with (thorns and purple petals) or orange stems"	flowers_thorns_purple_petals_or_orange_stems	1	90.198	47.568	96.941	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834748071	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	2	-1	29.471	111.841	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834762530	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	2	74.939	44.148	112.223	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547834989400	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	3	-1	40.057	97.76	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547835009956	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	3	69.312	59.657	98.143	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547835299467	student	15	"birds with orange wings and tails"	birds_orange_wings_tails	4	-1	29.145	174.825	logTimes
mp-game-6	pilot	5667-5a31297c-52af-4199-8cfe-a246341af5a6	1547835316741	explorer	15	"birds with orange wings and tails"	birds_orange_wings_tails	4	68.892	46.053	175.205	logTimes
