experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107350161	explorer	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0	159.683	63.36	87.182	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107355171	student	26	"flowers with purple petals or thorns"	flowers_purple_petals_or_thorns	0	-1	63.399	86.782	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107562041	explorer	46	"bugs with (antennae or wings) and purple bodies"	bugs_antennae_or_wings_purple_bodies	1	62.823	31.968	92.722	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107586410	student	46	"bugs with (antennae or wings) and purple bodies"	bugs_antennae_or_wings_purple_bodies	1	-1	56.632	92.272	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107730094	explorer	6	"birds with tails"	birds_tails	2	44.243	27.03	58.729	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548107734784	student	6	"birds with tails"	birds_tails	2	-1	31.967	58.34	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548108163564	student	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	3	-1	60.175	269.612	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548108168487	explorer	36	"fish with (orange bodies and purple stripes) or whiskers"	fish_orange_bodies_purple_stripes_or_whiskers	3	88.754	63.479	270.02	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548108294935	explorer	16	"trees with orange trunks and berries"	trees_orange_trunks_berries	4	45.519	19.432	45.67	logTimes
mp-game-6	pilot	7249-f3f3c018-1137-4390-861e-a6606da7f247	1548108299859	student	16	"trees with orange trunks and berries"	trees_orange_trunks_berries	4	-1	24.532	45.175	logTimes
