experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097652641	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"hello"	3.164	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097690119	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"are you there"	11.775	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097713733	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"hi"	0.801	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097721819	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"I am here"	4.156	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097727154	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"okay"	2.175	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097912996	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"hello"	2.03	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097920360	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"hi"	1.014	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097930395	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"how are you"	6.501	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097939079	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"I am fine"	4.451	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097945051	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"okay"	2.71	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097957177	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"what are you"	10.868	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097967168	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"student"	2.003	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548097982012	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"okay"	2.59	chatMessage
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098034684	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	"can you tell the properties of species"	8.275	chatMessage
