experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671666695	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"Hey there"	0.992	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671671111	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"hi"	0.557	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671674157	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"HELLO"	3.466	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671678496	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"HI"	0.445	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671683608	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"Hi, Geez."	2.704	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671691246	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"tell me about the species"	2.759	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671709020	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"You need to tell me.."	8.697	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671715683	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"no butterfly wings"	4.556	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671723500	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"Anything else?"	2.032	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671737786	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"do not click the ones with butterfly wings"	7.668	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671739672	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"got it?"	1.289	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671743343	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"Got it!"	1.248	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671745596	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	1	"Sure"	0.908	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671907531	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"click only the tallest trees"	7.773	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671913442	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"okay"	1.084	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671926021	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"Are you sure? Last time none of them had butterfly wings at all..."	14.77	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671933605	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"I seen fish with whiskers."	4.616	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671938049	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"same"	0.653	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671944384	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"I clicked the ones without whiskers"	3.894	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671953891	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"they one is trees"	4.217	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671966328	explorer	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"tallest treees"	3.098	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671971613	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"Same here and it told me I got them all wrong lol. So I am only doing the tall trees?"	20.882	chatMessage
mp-game-6	pilot	3393-181daf08-3a23-448a-9eda-7ba256d11209	1547671975066	student	25	"trees with white leaves or orange berries"	trees_white_leaves_or_orange_berries	2	"Got it."	0.976	chatMessage
