experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101783182	explorer	6	"birds with tails"	birds_tails	0	"Morseths have long tail feathers"	7.422	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101805291	student	6	"birds with tails"	birds_tails	0	"Is it like a bird type animal"	12.138	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101815710	explorer	6	"birds with tails"	birds_tails	0	"Yeah"	0.464	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101827391	explorer	6	"birds with tails"	birds_tails	0	"Color does not matter"	2.688	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101832239	explorer	6	"birds with tails"	birds_tails	0	"Nor do any other markings"	3.887	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101837439	explorer	6	"birds with tails"	birds_tails	0	"Just look for the long tail feathers"	4.865	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101876777	student	6	"birds with tails"	birds_tails	0	"Ok thats neat. "	10.291	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101894635	student	6	"birds with tails"	birds_tails	0	"Is that the only animal you see"	8.44	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101904942	explorer	6	"birds with tails"	birds_tails	0	"Yeah"	0.865	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101915102	explorer	6	"birds with tails"	birds_tails	0	"I only saw different types of birds"	5.024	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101922943	explorer	6	"birds with tails"	birds_tails	0	"Some had different feather lengths, etc"	6.496	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101931391	explorer	6	"birds with tails"	birds_tails	0	"But the morseth had long feathers on its tail"	7.713	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101955563	student	6	"birds with tails"	birds_tails	0	"does it have any thing else beside that"	10.055	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101964735	explorer	6	"birds with tails"	birds_tails	0	"nothing that I can think of"	4.383	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101970621	explorer	6	"birds with tails"	birds_tails	0	"as far as unique identifiers"	5.343	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548101983395	student	6	"birds with tails"	birds_tails	0	"thats interesting"	3.519	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548102007948	student	6	"birds with tails"	birds_tails	0	"i wish i could see it"	3.91	chatMessage
mp-game-6	pilot	5417-92f6c08e-a1fd-4f10-a822-28456c8c6e42	1548102033774	explorer	6	"birds with tails"	birds_tails	0	"are you able to advance?"	2.623	chatMessage
