experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874124621	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"colorted body and antenaes or no antenaes"	8.384	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874145437	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"thats all i know"	2.074	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874159827	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"Okay. Do you know what colors?"	10.095	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874165744	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"know its super confusing"	3.564	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874176571	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"purple orange"	2.121	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874194522	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"ok?"	0.918	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874213633	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"Alright. So some have antennas and some do not? "	23.719	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874218726	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"correct"	1.137	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874225393	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	"Okay. Good luck!"	3.832	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874646368	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"at least some white parts and feathers"	4.886	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874662811	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"Okay. Thanks. "	7.259	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874683654	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"ok"	0.36	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874711179	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"Anything else?"	5.448	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874717307	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"no"	0.972	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548874726048	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	1	"Alright. Good luck!"	4.861	chatMessage
mp-game-6	pilot	4029-725a2463-030a-4028-ac3b-2df817c447ac	1548875071516	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	2	"purple stems and spikes or"	16.732	chatMessage
