experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Luzaks must have tail feathers, those without are not Luzaks.	28.493000000000002	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Sometimes they have head feathers.	9.279	chatMessage	I	Q
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	49	birds with (white crests or orange wings) and tails	birds_white_crests_or_orange_wings_tails	0	Usually their wing colors match their tail colors. 	18.778	chatMessage	I	P
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	39	bugs with (white legs and purple wings) or orange antennae	bugs_white_legs_purple_wings_or_orange_antennae	1	Zorbs that have legs with two little balls like indents and antenna with no wings are Zorbs.  	55.126999999999995	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	39	bugs with (white legs and purple wings) or orange antennae	bugs_white_legs_purple_wings_or_orange_antennae	1	Zorbs with the other kind of legs must have wings and their head color usually matches their wing color. 	22.349	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	They have a purple dot in the middle of the flower head	8.701	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	The petals must be orange	8.401	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	19	flowers with orange petals and purple centers	flowers_orange_petals_purple_centers	2	A vice versa	3.505	chatMessage	I	O
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	3	trees with no flowers	5.4110000000000005	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	3	Purple with any color balls	5.854	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	3	Blue with any color balls	6.768	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	9	trees without leaves	trees_without_leaves	3	No white trees	6.148	chatMessage	I	G
mp-game-6	pilot	7297-6cd9e8b9-29bb-432d-8128-d9dca1b8f01d	1550000000000.0	explorer	29	fish with white stripes or whiskers	fish_white_stripes_or_whiskers	4	Any orange, white or purple fish with whiskers	18.249000000000002	chatMessage	I	Q
