experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType	messageType	uttClass
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	27	flowers with orange stems or thorns	flowers_orange_stems_or_thorns	0	Kweps are usually orange with white arms	13.286	chatMessage	I	P
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	27	flowers with orange stems or thorns	flowers_orange_stems_or_thorns	0	They usually have three arms or three thorns	6.419	chatMessage	I	P
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	37	fish with (white bodies and orange stripes) or fangs	fish_white_bodies_orange_stripes_or_fangs	1	Zorbs usually have whiskers.	4.831	chatMessage	I	P
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	student	37	fish with (white bodies and orange stripes) or fangs	fish_white_bodies_orange_stripes_or_fangs	1	What else can you tell me?	5.187	chatMessage	I	?
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	37	fish with (white bodies and orange stripes) or fangs	fish_white_bodies_orange_stripes_or_fangs	1	They are usually orange with stripes	8.785	chatMessage	I	P
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	student	37	fish with (white bodies and orange stripes) or fangs	fish_white_bodies_orange_stripes_or_fangs	1	Anything else?	2.9530000000000003	chatMessage	F	?
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	17	trees with purple leaves and berries	trees_purple_leaves_berries	2	Ollers have purple leaves.	5.353	chatMessage	F	G
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	47	bugs with (white heads or orange antennae) and purple legs	bugs_white_heads_or_orange_antennae_purple_legs	3	They usually have orange wings with purple bodies.	6.779	chatMessage	I	P
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	student	47	bugs with (white heads or orange antennae) and purple legs	bugs_white_heads_or_orange_antennae_purple_legs	3	Any other distinct features?	156.34	chatMessage	F	?
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	47	bugs with (white heads or orange antennae) and purple legs	bugs_white_heads_or_orange_antennae_purple_legs	3	Not really	1.204	chatMessage	F	A
mp-game-6	pilot	2674-c85c4abd-8895-43d3-a70e-5413c4e17e2c	1548100000000.0	explorer	7	birds with purple tails	birds_purple_tails	4	Morseths have purple tails.	3.3169999999999997	chatMessage	I	G
