experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761608486	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	0	0	6	36	8	0	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761616446	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	0	6	0	44	0	6	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761802953	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	1	13	6	31	0	13	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547761810833	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	1	1	18	31	0	1	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762055576	student	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	2	9	31	7	3	6	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762115698	explorer	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	2	4	36	9	1	3	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762410664	student	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	2	13	29	6	0	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762451524	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	2	13	31	4	0	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762554861	student	8	"trees with purple berries"	trees_purple_berries	4	0	10	32	8	0	logScores
mp-game-6	pilot	8143-98a7ab71-c69c-483f-b7f3-5974c95eb26e	1547762583154	explorer	8	"trees with purple berries"	trees_purple_berries	4	1	9	40	0	1	logScores
