experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102702900	explorer	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	16	3	25	6	10	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548102746277	student	38	"bugs with (purple legs and white heads) or orange wings"	bugs_purple_legs_white_heads_or_orange_wings	0	19	0	22	9	10	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548103337931	explorer	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	1	25	15	7	3	22	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548103371458	student	28	"fish with orange bodies or fangs"	fish_orange_bodies_or_fangs	1	26	14	6	4	22	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548103680725	explorer	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	2	5	1	44	0	5	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548103751888	student	48	"birds with (orange tails or white wings) and orange crests"	birds_orange_tails_or_white_wings_orange_crests	2	6	0	38	6	0	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548104098997	explorer	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	14	1	35	0	14	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548104099032	student	18	"flowers with purple stem and thorns"	flowers_purple_stems_thorns	3	15	0	35	0	15	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548104466399	explorer	8	"trees with purple berries"	trees_purple_berries	4	10	0	40	0	10	logScores
mp-game-6	pilot	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	1548104485810	student	8	"trees with purple berries"	trees_purple_berries	4	9	1	40	0	9	logScores
