experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845606608	student	1	"flowers with thorns"	flowers_thorns	0	-1	12.266	61.387	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845620609	explorer	1	"flowers with thorns"	flowers_thorns	0	100.293	24.167	61.797	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845745802	explorer	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	1	61.831	13.684	29.793	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845766356	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	1	-1	34.421	29.391	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845882381	student	41	"trees with (orange trunks or berries) and white leaves"	trees_orange_trunks_or_berries_white_leaves	2	-1	20.015	15.299	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547845886035	explorer	41	"trees with (orange trunks or berries) and white leaves"	trees_orange_trunks_or_berries_white_leaves	2	42.009	23.337	15.699	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547846027135	student	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	3	-1	27.804	11.928	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547846034257	explorer	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	3	40.331	31.949	12.336	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547846141126	student	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	4	-1	9.613	11.333	logTimes
mp-game-6	pilot	5283-27af64ce-1db1-44b8-8a34-7c2d334e55b8	1547846144005	explorer	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	4	36.648	11.741	11.732	logTimes
