experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116598	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0	1	37	7	5	0	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448163543	explorer	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0	0	38	11	1	0	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448359835	explorer	3	"fish with whiskers"	fish_whiskers	1	27	0	23	0	27	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448371636	student	3	"fish with whiskers"	fish_whiskers	1	17	10	10	13	4	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448835332	student	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	2	6	21	16	7	0	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448837997	explorer	23	"birds with orange crests or purple wings"	birds_orange_crests_or_purple_wings	2	14	13	16	7	7	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548449114735	student	43	"flowers with (purple stems or thorns) and white centers"	flowers_purple_stems_or_thorns_white_centers	3	6	6	28	10	0	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548449145294	explorer	43	"flowers with (purple stems or thorns) and white centers"	flowers_purple_stems_or_thorns_white_centers	3	4	8	27	11	0	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548449284838	student	13	"bugs with wings and antennae"	bugs_wings_antennae	4	11	23	13	3	8	logScores
mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548449313326	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	4	33	1	16	0	33	logScores
