experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	hits	misses	correct_rejections	false_alarms	score	eventType
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548779381003	explorer	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	0	8	4	38	0	8	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548779386683	student	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	0	3	9	10	28	0	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548779878693	explorer	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	1	9	3	38	0	9	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548779910596	student	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	1	0	12	35	3	0	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780155733	explorer	9	"trees without leaves"	trees_without_leaves	2	9	0	41	0	9	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780197136	student	9	"trees without leaves"	trees_without_leaves	2	1	8	41	0	1	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780505293	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	3	3	7	37	3	0	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780538419	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	3	0	10	39	1	0	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780777151	explorer	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	30	0	0	20	10	logScores
mp-game-6	pilot	0882-fa5d9dd5-8f5a-4fd1-9615-e2bee5865951	1548780799590	student	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	4	1	29	11	9	0	logScores
