stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	true	false	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
1	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
2	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
3	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
4	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
5	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
6	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
7	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
8	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
9	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
10	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
11	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
12	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
13	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
14	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
15	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
16	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
17	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
18	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
19	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
20	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
21	false	false	true	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
22	false	true	false	logTest	mp-game-6	pilot	6148-547a9a1c-ec36-4930-b8f9-f5514a379a08	1547838643660	explorer	13	"bugs with wings and antennae"	bugs_wings_antennae	0
