stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
1	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
2	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
3	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
4	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
5	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
6	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
7	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
8	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
9	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
10	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
11	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
12	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
13	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
14	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
15	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
16	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
17	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
18	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
19	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
20	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
21	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
22	false	true	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
23	false	true	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
24	false	false	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
25	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
26	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
27	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
28	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
29	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
30	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
31	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
32	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
33	true	false	false	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
34	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
35	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
36	true	true	true	logTest	mp-game-6	pilot	7929-724fe6a7-bdc0-4149-9d5d-96f8d6281490	1548097682412	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0
