stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
1	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
2	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
3	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
4	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
5	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
6	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
7	true	false	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
8	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
9	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
10	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
11	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
12	true	false	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
13	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
14	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
15	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
16	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
17	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
18	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
19	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
20	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
21	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
22	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
23	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
24	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
25	true	false	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
26	true	false	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
27	true	true	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
28	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
29	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
30	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
31	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
32	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
33	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
34	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
35	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
36	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
37	false	false	true	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
38	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
39	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
40	true	false	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
41	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
42	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
43	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
44	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
45	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
46	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
47	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
48	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
49	false	true	false	logTest	mp-game-6	pilot	2803-04045353-9a86-458c-a373-cae284e693a9	1548448116550	student	33	"trees with (leaves and berries) or orange trunks"	trees_leaves_berries_or_orange_trunks	0
