stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
0	true	false	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
1	true	false	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
2	false	true	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
3	true	true	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
4	false	false	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
5	false	false	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
6	true	true	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
7	true	false	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
8	false	false	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
9	true	false	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
10	false	true	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
11	true	true	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
12	false	true	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
13	true	false	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
14	false	false	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
15	true	true	true	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
16	false	true	false	logTest	mp-game-6	pilot	4014-fa3a9407-2d36-42fd-8bf0-41dc20ec080d	1548448567906	explorer	34	"flowers with (purple stems and white petals) or orange centers"	flowers_purple_stems_white_petals_or_orange_centers	0
