experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832157766	student	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0	-1	30.188	154.627	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832169804	explorer	31	"birds with (purple crests and purple tails) or orange wings"	birds_purple_crests_purple_tails_or_orange_wings	0	158.488	41.959	155.022	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832358722	explorer	1	"flowers with thorns"	flowers_thorns	1	69.272	20.49	69.429	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832359522	student	1	"flowers with thorns"	flowers_thorns	1	-1	22.763	69.055	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832518834	student	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	2	-1	27.289	51.54	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832530222	explorer	11	"fish with white stripes and whiskers"	fish_white_stripes_whiskers	2	65.966	37.569	51.916	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832755425	student	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	3	-1	16.575	30.78	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832765921	explorer	21	"bugs with purple wings or white legs"	bugs_purple_wings_or_white_legs	3	161.848	24.974	31.157	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832905364	explorer	41	"trees with (orange trunks or berries) and white leaves"	trees_orange_trunks_or_berries_white_leaves	4	54.342	33.988	38.746	logTimes
mp-game-6	pilot	8296-1c6c55f7-d576-4bd1-aa3a-91a1465aac8e	1547832915211	student	41	"trees with (orange trunks or berries) and white leaves"	trees_orange_trunks_or_berries_white_leaves	4	-1	45.173	38.367	logTimes
