experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	train	test	chat	eventType
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098246517	explorer	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	422.103	48.093	690.424	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098263247	student	19	"flowers with orange petals and purple centers"	flowers_orange_petals_purple_centers	0	-1	61.917	689.89	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098530593	explorer	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	1	34.86	54.773	146.789	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098537482	student	29	"fish with white stripes or whiskers"	fish_white_stripes_or_whiskers	1	-1	62.874	101.222	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098718279	student	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	2	-1	48.352	70.037	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548098727386	explorer	39	"bugs with (white legs and purple wings) or orange antennae"	bugs_white_legs_purple_wings_or_orange_antennae	2	33.555	26.439	70.893	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548099082458	student	9	"trees without leaves"	trees_without_leaves	3	-1	21.141	143.5	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548099097817	explorer	9	"trees without leaves"	trees_without_leaves	3	122.314	29.301	144.061	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548099232655	student	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	4	-1	9.339	64.954	logTimes
mp-game-6	pilot	4035-cb30b655-617f-4b5b-98a6-41a38ff3619e	1548099256744	explorer	49	"birds with (white crests or orange wings) and tails"	birds_white_crests_or_orange_wings_tails	4	26.986	28.364	65.604	logTimes
