"workerid","col4_crit","species","prop2_crit","trial_num","question","time_in_seconds","prop1_crit","critter","col1_crit","tar1_crit","tar2_crit","col3_crit","col2_crit","distribution","col4","col5","col2","col3","col1","response","trial_type","prop1","prop2","col5_crit","tar2","tar1"
0,-99,"lorch","fatness",1,"find creatures",6.835,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#dc74dc","#dc74dc","#dc74dc","They are pink.","learning_trial",0.662131388636,0.01804021303,-99,0,0
0,-99,"fep","fatness",2,"find creatures",7.747,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#eec900","#eec900","#eec900","Feps are yellow","learning_trial",0.970462907612,0.574537495161,-99,0,0
0,-99,"wug","fatness",3,"find creatures",4.256,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#4f9fda","#4f9fda","#4f9fda","Wugs are blue.","learning_trial",0.319159125196,0.866773407248,-99,0,0
0,-99,"lorch","fatness",4,"find creatures",4.958,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#dc74dc","#dc74dc","#dc74dc","Lorch is purple","learning_trial",0.113760637727,0.542135737155,-99,0,0
0,-99,"fep","fatness",5,"find creatures",3.879,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#eec900","#eec900","#eec900","Fep is yellow.","learning_trial",0.363438437263,0.675266895765,-99,0,0
0,-99,"wug","fatness",6,"find creatures",3.21,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#4f9fda","#4f9fda","#4f9fda","Wugs are blue.","learning_trial",0.0957665449558,0.778311738992,-99,0,0
0,-99,"wug","fatness",7,"find creatures",3.833,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#4f9fda","#4f9fda","#4f9fda","Wugs are blue.","learning_trial",0.519829062988,0.956047313371,-99,0,0
0,-99,"lorch","fatness",8,"find creatures",5.114,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#edc901","#edc901","#edc901","Lorch are yellow.","learning_trial",0.582734684374,0.999030233215,-99,0,0
0,-99,"fep","fatness",9,"find creatures",4.51,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#eec900","#eec900","#eec900","Feps are big.","learning_trial",0.0594042937028,0.987270902535,-99,0,0
0,-99,"lorch","fatness",10,"find creatures",4.441,"height","bird","crest","tail","crest","wing","body","[1,1,0.5]",-99,-99,"#edc901","#edc901","#edc901","Lorch have big heads.","learning_trial",0.544984558682,0.0271870433334,-99,0,0
