workerid,concept_number,labels,trial_num,true_labels,time_in_seconds,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.question,Answer.distribution,Answer.time_in_minutes
0,1,[true],1,[true],3.712,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],2,[false],5.503,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],3,[false],5.894,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],4,[false],8.268,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],5,[false],7.331,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],6,[false],4.1,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],7,[false],3.089,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],8,[false],3.662,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[true],9,[true],1.936,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
0,1,[false],10,[false],2.037,"""English""","""2""","""Male""","""37""","""""","""""","""Yes""","""1.30""","""1""","""Windows""",1080,1920,"""Chrome""","""3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""3QOPOPHLGMXYTR93PO93FBO45KTBWB""","""Language experiment (Crittun 900)""","""Explore a new world and answer short questions (~ 10 minutes)""","""language research stanford fun cognitive science university teaching""","""$1.30""","""Mon Feb 05 16:00:37 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""300""","""Wed Mar 07 16:00:37 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UZ7QBKCHU8UAXO2RS9NC8""","""34BBWHLWHBORDSCKR80552V9EE2WIJ""",0,"""Approved""","""Mon Feb 05 16:30:27 PST 2018""","""Mon Feb 05 16:10:04 PST 2018""","""Mon Feb 05 16:25:27 PST 2018""","""Mon Feb 05 16:30:41 PST 2018""","""""","""""","""""","""""","""undefined""","""undefined""","""3.1126666666666667"""
