iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738352891	1	playerB	hi, all grinks, some trufts, and some of the third can't remember the name	37497	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738368746	1	playerA	Hi, dorb fish do not live near crocodiles; morseth do; blin sometime do	43482	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738441952	1	playerB	so i should pick mainly morseth no dorbs and some blin?	55417	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738460513	1	playerA	yes	1134	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738477448	1	playerA	what is the name of the third one in your group	12307	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738502281	1	playerB	k cya in a few, sorry i don't remember	36576	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738512113	1	playerB	just favor grunks	9040	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738517470	1	playerA	ok	1280	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738518702	1	playerB	trufts 2nd	5559	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738658657	2	playerB	javs lay eggs, the other two didn't	27076	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738679714	2	playerA	stick with plov, some kwep, no fep	15052	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738694390	2	playerB	k thanx 	7747	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738761677	3	playerA	only wug	3671	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738779008	3	playerB	all ollers, some kaz and none of the third	21368	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738784170	3	playerB	k ty	3696	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738921965	4	playerA	all were 50/50	6654	chatMessage
pilot1	7885-73f4a3d7-c242-46d0-96f2-a0c9fb4c2307	1502738942910	4	playerB	this is a tough one, yeah what you said, it's a dice roll good luck.	28391	chatMessage
