iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180203395	0	b	I could not figure out the difference between the named bug and the others	18068	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180230713	0	b	some were orange, others were purple, some had wide eyes, some narrow, each had a mixture of these features, there was no apptern	20716	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180233240	0	b	*pattern	1063	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180265111	0	a	I saw four different fish. Two shapes, fat like a flounder and small like a cigar. There were red and green examples of both. According to the labels, all of them are called "reesle."	82266	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180283621	0	a	what was the name of the bug that was given?	13803	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180292140	0	b	luzak	1246	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180321815	0	b	ready to move on?	1756	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180330381	0	a	yes	1921	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180439105	1	b	cheeba, purple and green, some flat like flounder, others like a cigar, no pattern	16711	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180450855	1	a	Krivel birds have tail feathers. Color doesn't seem to be important.	31212	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180475487	1	b	ok lets go, I just randomly guess last test btw	10564	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180485510	1	a	ok	1710	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180624529	2	a	Flowers - Plov - Big and red with or without thorns, big and yellow with thorns, red and little without thorns.	24805	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180628452	2	b	ackle, flat blue with whiskers, cigar shaped blue without whiskers, flat green without whiskers, cigar green with whiskers	29072	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180663172	2	a	ok	12417	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180669250	2	b	ok	3892	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180804624	3	b	kwep, wide eyes and butterfly shaped, or close eyes and cigar shaped and blue	24254	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180836818	3	a	Flower - Zorb - yellow and orange. Big and with thorns or little without thorns for both colors. 	50118	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180844721	3	a	ok	1655	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508180851280	3	b	ok	782	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181045134	4	b	sapes, flat orange with or without whiskers, flat yellow without whiskers, small yellow with whiskers	19717	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181066606	4	a	Bird - Fep - Short purple with or without tails, tall without tails. Blue short without tails. 	45637	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181113552	4	a	ok	12994	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181236754	5	b	taifel, blue cigar with close or wide eyes, blue butterfly with close or wide eyes	119317	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181239146	5	a	bird - morseth - all short purple, tall with no tail, green tall with tail	24613	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181252088	5	a	ok	607	chatMessage
pilot1	6885-9f891737-457e-4c60-aae6-29af1864a988	1508181254499	5	b	ok	335	chatMessage
