iterationName	gameid	time	trialNum	role	text	reactionTime	eventType
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182876142	0	a	if it's red it's a fkaw	11098	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182884728	0	a	orange it's not	2048	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182898186	0	b	blins are:  blue with wings, purple with wide head and wings, and blue with wide head	41829	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182912397	0	a	awesome, thanks	1544	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182932119	0	b	we good?	6065	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508182936678	0	a	good man	840	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183027529	1	b	ellep have wings	4846	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183030898	1	a	it's a zorb if it has whiskers	6567	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183035817	1	a	thaks	824	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183051803	1	b	sorry about last one, none were red	9505	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183240679	2	a	it's a gruft when: blue=wide eyes, purple=10 legs	13568	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183244993	2	b	long legs and tail feathers, or green with no tail feathers	16357	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183257418	2	a	okay cool	3205	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183627845	3	a	morseth=big and yellow or small with no vines	7204	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183649742	3	b	red = big no whiskers, small with whiskers	26261	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183663364	3	b	blue = big with whiskers, small no whiskers	12832	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183670063	3	a	okay cool!	2153	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183688328	3	b	what was yours again, can't go up sorry	12971	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183695165	3	a	morseth=big and yellow or small with no vines	292	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183707952	3	a	just scroll up with arrows/touchpad	8991	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183741544	3	b	got it thank, no scroll pad but arrow works, thanks	14263	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183890374	4	a	thup: yellow BIG with whiskers or any purple ones that are not small without whiskers	388	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183918674	4	b	green with tail feathers, blue with long legs	15222	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183921714	4	a	so big yellow ones with whiskers or any that are purple (as long as they aren't the small one with whiskers)	20851	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508183927181	4	a	thanks!	852	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508184119641	5	a	red with small eyes or red with no wings and big eyes, or orange with small eyes and no iwings or big with wings	216	chatMessage
pilot1	8012-585cc5de-101d-486f-a1ce-3160843f2cda	1508184150586	5	b	small with whiskers (2 of them), large green no whiskers, large purple with whiskers	28686	chatMessage
