iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508178755349	1	b	1	3	3	1	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508178804093	1	a	1	3	0	4	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508178924801	2	b	2	2	2	2	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508178928778	2	a	3	1	1	3	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179042099	3	a	2	2	1	3	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179042386	3	b	4	0	0	4	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179106808	4	a	1	3	3	1	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179109741	4	b	2	2	2	2	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179202422	5	a	3	1	1	3	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179207051	5	b	3	1	1	3	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179265688	6	a	1	3	3	1	logScores
pilot1	9582-00e3c4d2-90d0-401c-b1c4-fe721897156d	1508179271594	6	b	2	2	2	2	logScores
