iterationName	gameid	time	trialNum	role	hit	miss	falseAlarm	correctRejection	eventType
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186866924	1	a	4	0	1	3	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186889341	1	b	4	0	2	2	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187032431	2	a	2	2	2	2	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187038840	2	b	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187127862	3	a	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187136381	3	b	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187275424	4	b	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187281343	4	a	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187427711	5	b	3	1	1	3	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187441813	5	a	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187600534	6	b	4	0	0	4	logScores
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508187602871	6	a	4	0	0	4	logScores
