iterationName	gameid	time	trialNum	role	tar1	tar2	tar3	col1	col2	col3	col4	col5	prop1	prop2	categoryLabel	genus	conceptNumber	categoryPluralLabel	labeled	colorName	featureValues	featureOrder	block_num	block_type	tested_on	time_in_ms	critter_num	isLabeled	selected	categorizedResponse	eventType
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023719	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	plov	fish	ii	plovs	true	purple	0_0_1	property_colors_size	0	testCritters	self	25740	0	1	1	hit	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023721	1	b	0	1	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0.8	0	plov	fish	ii	plovs	true	orange	1_1_1	property_colors_size	0	testCritters	self	25740	1	1	0	miss	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023722	1	b	0	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0	0	plov	fish	ii	plovs	false	orange	0_1_0	property_colors_size	0	testCritters	self	25740	2	0	1	falseAlarm	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023723	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	plov	fish	ii	plovs	true	purple	0_0_0	property_colors_size	0	testCritters	self	25740	3	1	0	miss	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023723	1	b	0	1	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0	0	plov	fish	ii	plovs	true	orange	1_1_0	property_colors_size	0	testCritters	self	25740	4	1	1	hit	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023724	1	b	0	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0.8	0	plov	fish	ii	plovs	false	orange	0_1_1	property_colors_size	0	testCritters	self	25740	5	0	0	correctRejection	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023724	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	plov	fish	ii	plovs	false	purple	1_0_1	property_colors_size	0	testCritters	self	25740	6	0	1	falseAlarm	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185023725	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	plov	fish	ii	plovs	false	purple	1_0_0	property_colors_size	0	testCritters	self	25740	7	0	0	correctRejection	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185036099	1	a	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	plov	fish	ii	plovs	false	purple	1_0_0	property_colors_size	0	testCritters	partner	37372	0	0	1	falseAlarm	logTest
pilot1	8180-d9aa2660-a6db-47d3-840c-b94548f12bd5	1508185036104	1	a	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	plov	fish	ii	plovs	true	purple	0_0_0	property_colors_size	0	testCritters	partner	37372	1	1	0	miss	logTest
