iterationName	gameid	time	trialNum	role	tar1	tar2	tar3	col1	col2	col3	col4	col5	prop1	prop2	categoryLabel	genus	conceptNumber	categoryPluralLabel	labeled	colorName	featureValues	featureOrder	block_num	time_in_ms	block	critter_num	eventType
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600100	0	b	1	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	ackle	bird	v	ackles	true	purple	1_0_1	property_size_colors	0	22333	learnCritters	0	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600102	0	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	ackle	bird	v	ackles	false	blue	0_0_0	property_size_colors	0	22333	learnCritters	1	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600102	0	b	1	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	ackle	bird	v	ackles	false	purple	1_1_1	property_size_colors	0	22333	learnCritters	2	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600103	0	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	ackle	bird	v	ackles	false	purple	0_0_1	property_size_colors	0	22333	learnCritters	3	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600103	0	b	1	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	1	0	ackle	bird	v	ackles	true	blue	1_1_0	property_size_colors	0	22333	learnCritters	4	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600104	0	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	1	0	ackle	bird	v	ackles	false	blue	0_1_0	property_size_colors	0	22333	learnCritters	5	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600104	0	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	1	0	ackle	bird	v	ackles	true	purple	0_1_1	property_size_colors	0	22333	learnCritters	6	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186600105	0	b	1	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	ackle	bird	v	ackles	true	blue	1_0_0	property_size_colors	0	22333	learnCritters	7	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696414	0	a	0	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	0	0	ellep	bug	iv	elleps	true	yellow	1_0_0	colors_size_property	0	112234	learnCritters	0	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696425	0	a	0	1	0	#228b22	#228b22	#228b22	#228b22	#228b22	0	0	ellep	bug	iv	elleps	true	green	0_0_1	colors_size_property	0	112234	learnCritters	1	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696426	0	a	0	1	0	#eec900	#eec900	#eec900	#eec900	#eec900	0	0	ellep	bug	iv	elleps	false	yellow	1_0_1	colors_size_property	0	112234	learnCritters	2	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696427	0	a	0	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	1	0	ellep	bug	iv	elleps	true	green	0_1_0	colors_size_property	0	112234	learnCritters	3	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696427	0	a	0	1	0	#228b22	#228b22	#228b22	#228b22	#228b22	1	0	ellep	bug	iv	elleps	false	green	0_1_1	colors_size_property	0	112234	learnCritters	4	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696429	0	a	0	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	1	0	ellep	bug	iv	elleps	false	yellow	1_1_0	colors_size_property	0	112234	learnCritters	5	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696430	0	a	0	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	0	0	ellep	bug	iv	elleps	true	green	0_0_0	colors_size_property	0	112234	learnCritters	6	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186696431	0	a	0	1	0	#eec900	#eec900	#eec900	#eec900	#eec900	1	0	ellep	bug	iv	elleps	false	yellow	1_1_1	colors_size_property	0	112234	learnCritters	7	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910747	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	grink	fish	iii	grinks	false	purple	1_0_1	property_colors_size	1	12900	learnCritters	0	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910763	1	b	0	1	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	grink	fish	iii	grinks	true	purple	1_0_0	property_colors_size	1	12900	learnCritters	1	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910778	1	b	0	1	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0.8	0	grink	fish	iii	grinks	true	blue	1_1_1	property_colors_size	1	12900	learnCritters	2	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910779	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0.8	0	grink	fish	iii	grinks	false	purple	0_0_1	property_colors_size	1	12900	learnCritters	3	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910780	1	b	0	0	0	#b62fef	#b62fef	#b62fef	#b62fef	#b62fef	0	0	grink	fish	iii	grinks	false	purple	0_0_0	property_colors_size	1	12900	learnCritters	4	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910780	1	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0.8	0	grink	fish	iii	grinks	true	blue	0_1_1	property_colors_size	1	12900	learnCritters	5	logTrain
pilot1	4210-2a275454-7695-4361-84f0-a344ad278770	1508186910781	1	b	0	0	0	#5da5db	#5da5db	#5da5db	#5da5db	#5da5db	0	0	grink	fish	iii	grinks	false	blue	0_1_0	property_colors_size	1	12900	learnCritters	6	logTrain
