iterationName	gameid	time	trialNum	role	tar1	tar2	tar3	col1	col2	col3	col4	col5	prop1	prop2	categoryLabel	genus	conceptNumber	categoryPluralLabel	labeled	colorName	featureValues	featureOrder	block_num	time_in_ms	block	critter_num	eventType
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889974	0	b	1	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	0	0	krivel	bird	vi	krivels	true	green	0_1_1	size_colors_property	0	14702	learnCritters	0	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889980	0	b	0	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	0	0	krivel	bird	vi	krivels	false	green	0_1_0	size_colors_property	0	14702	learnCritters	1	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889980	0	b	0	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	1	0	krivel	bird	vi	krivels	false	orange	1_0_0	size_colors_property	0	14702	learnCritters	2	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889981	0	b	0	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0	0	krivel	bird	vi	krivels	true	orange	0_0_0	size_colors_property	0	14702	learnCritters	3	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889981	0	b	0	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	1	0	krivel	bird	vi	krivels	true	green	1_1_0	size_colors_property	0	14702	learnCritters	4	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889981	0	b	1	0	0	#228b22	#228b22	#228b22	#228b22	#228b22	1	0	krivel	bird	vi	krivels	false	green	1_1_1	size_colors_property	0	14702	learnCritters	5	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889982	0	b	1	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	1	0	krivel	bird	vi	krivels	true	orange	1_0_1	size_colors_property	0	14702	learnCritters	6	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646889983	0	b	1	0	0	#ff8c00	#ff8c00	#ff8c00	#ff8c00	#ff8c00	0	0	krivel	bird	vi	krivels	false	orange	0_0_1	size_colors_property	0	14702	learnCritters	7	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909198	0	a	0	0	0	#f42935	#f42935	#f42935	#f42935	#f42935	1	0	zorb	flower	v	zorbs	true	red	0_0_1	property_colors_size	0	8669	learnCritters	0	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909205	0	a	1	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	0	0	zorb	flower	v	zorbs	false	yellow	1_1_0	property_colors_size	0	8669	learnCritters	1	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909206	0	a	1	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	1	0	zorb	flower	v	zorbs	true	yellow	1_1_1	property_colors_size	0	8669	learnCritters	2	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909206	0	a	1	0	0	#f42935	#f42935	#f42935	#f42935	#f42935	0	0	zorb	flower	v	zorbs	false	red	1_0_0	property_colors_size	0	8669	learnCritters	3	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909208	0	a	0	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	0	0	zorb	flower	v	zorbs	true	yellow	0_1_0	property_colors_size	0	8669	learnCritters	4	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909208	0	a	1	0	0	#f42935	#f42935	#f42935	#f42935	#f42935	1	0	zorb	flower	v	zorbs	false	red	1_0_1	property_colors_size	0	8669	learnCritters	5	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909210	0	a	0	0	0	#f42935	#f42935	#f42935	#f42935	#f42935	0	0	zorb	flower	v	zorbs	true	red	0_0_0	property_colors_size	0	8669	learnCritters	6	logTrain
pilot1	9578-c1dea46b-fb3a-4647-b8c1-7b27efd8b2c9	1518646909210	0	a	0	0	0	#eec900	#eec900	#eec900	#eec900	#eec900	1	0	zorb	flower	v	zorbs	false	yellow	0_1_1	property_colors_size	0	8669	learnCritters	7	logTrain
