iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130790351	1	explorer	0	2.75	false	true	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130792091	1	student	0	6.577	true	true	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130792167	1	explorer	1	1.786	false	true	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130794056	1	explorer	2	1.9	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130795211	1	student	1	3.014	true	true	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130795846	1	explorer	3	1.766	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130798121	1	student	2	2.887	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130798164	1	explorer	4	2.304	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130799846	1	student	3	1.696	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130800078	1	explorer	5	1.866	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130801830	1	explorer	6	1.732	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130804910	1	explorer	7	3.074	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130804990	1	student	4	5.132	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130806604	1	student	5	1.585	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130808070	1	student	6	1.416	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130809763	1	explorer	8	4.81	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130810220	1	student	7	2.126	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130812324	1	explorer	9	2.542	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130812440	1	student	8	2.185	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130814201	1	explorer	10	1.822	false	false	true	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130814256	1	student	9	1.802	true	false	false	logTest
pilot1	0225-6ab2742c-0b64-4546-87c9-4f1c8401c827	1525130815881	1	explorer	11	1.702	false	false	true	logTest
