iterationName	gameid	time	trialNum	role	trial_num	time_in_seconds	turker_label	true_label	is_correct	eventType
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127145607	1	explorer	0	11.955	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127154798	1	explorer		logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127157416	1	explorer	2	9.172	true	true	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127170128	1	explorer		logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127172667	1	explorer	4	12.647	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127176116	1	explorer	5	3.383	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127178486	1	explorer	6	2.292	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127180550	1	explorer	7	1.991	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127182698	1	explorer	8	2.077	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127185333	1	explorer	9	2.554	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127186977	1	explorer	10	1.56	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127189831	1	explorer	11	2.76	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127198516	1	explorer		logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127198957	1	explorer	13	8.58	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127200657	1	explorer	14	1.588	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127202470	1	explorer	15	1.699	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127204005	1	explorer	16	1.421	false	false	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127209924	1	explorer		logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127212168	1	explorer	18	5.793	true	true	true	logTrain
pilot1	3122-1c1fe19f-a549-49f7-8e0f-53c77fe02765	1525127214196	1	explorer	19	1.884	false	false	true	logTrain
