pred,trial_num,type
0.75,0,train
0.75,1,train
0.25,2,train
0.5,3,train
0.5,4,train
0.5,5,train
1.0,6,train
0.25,7,train
0.25,8,train
0.25,9,train
0.25,10,train
0.25,11,train
0.25,12,train
0.0,13,train
0.25,14,train
0.5,15,train
0.25,16,train
0.5,17,train
0.5,18,train
0.25,19,train
0.0,20,train
0.25,21,train
0.75,22,train
0.25,23,train
0.25,24,train
0.75,25,train
0.25,26,train
0.25,27,train
1.0,28,train
0.25,29,train
0.25,30,train
0.25,31,train
0.25,32,train
0.25,33,train
0.25,34,train
0.25,35,train
0.5,36,train
0.25,37,train
0.0,38,train
0.25,39,train
0.25,40,train
0.25,41,train
0.25,42,train
0.0,43,train
0.0,44,train
0.0,45,train
0.0,46,train
0.0,47,train
0.0,48,train
0.0,49,train
0.25,0,test
0.25,1,test
0.0,2,test
0.0,3,test
0.0,4,test
0.0,5,test
0.0,6,test
0.25,7,test
0.25,8,test
0.25,9,test
0.0,10,test
0.0,11,test
0.0,12,test
0.0,13,test
0.0,14,test
0.5,15,test
0.25,16,test
0.0,17,test
0.0,18,test
0.25,19,test
0.0,20,test
0.0,21,test
0.0,22,test
0.0,23,test
0.0,24,test
0.0,25,test
0.0,26,test
0.0,27,test
0.0,28,test
0.0,29,test
0.0,30,test
