date,workerid,amount
Tue Mar 13 14:17:13 PDT 2018,A23EWFNNOUS10B,1.5
Tue Mar 13 14:17:28 PDT 2018,A12J4IRF5Z06BT,1.5
Tue Mar 13 14:21:45 PDT 2018,APGX2WZ59OWDN,1.5
Tue Mar 13 14:23:51 PDT 2018,AA4KKLIU4C3NY,1.5
Tue Mar 13 14:24:49 PDT 2018,A3N8JP3QR3VPE8,1.5
Tue Mar 13 14:24:51 PDT 2018,A1LB9JOMFQ1UMG,1.5
Tue Mar 13 14:25:30 PDT 2018,A28SYXQL3YOKVL,1.5
Tue Mar 13 14:25:37 PDT 2018,A3RR85PK3AV9TU,1.5
Tue Mar 13 14:33:49 PDT 2018,A319HGTKM0UY0V,1.5
Tue Mar 13 14:34:56 PDT 2018,A2BK45LZGGWPLX,1.5
Tue Mar 13 14:37:19 PDT 2018,AM2KK02JXXW48,1.5
Tue Mar 13 14:47:53 PDT 2018,A2NJ6AR78O07FD,1.5
Tue Mar 13 14:51:24 PDT 2018,AWR72LJOVT0JE,1.5
Tue Mar 13 14:55:08 PDT 2018,A1RDRK3QTM7U96,1.5
Tue Mar 13 14:56:32 PDT 2018,A3AFC26CB0AXMI,1.5
Tue Mar 13 15:10:18 PDT 2018,A3VTOW7WLPTBRR,1.5
Tue Mar 13 15:10:25 PDT 2018,A1SLJKNSNHOJRN,1.5
Tue Mar 13 15:46:37 PDT 2018,A2IRBZJJEB9P5E,1.5
Tue Mar 13 15:48:02 PDT 2018,A23A1WMFNPETYQ,1.5
,total paid to workers:,=SUM(c2:c20)
,40% paid to Amazon:,=.4*c21
,total:,=SUM(c21:c22
